Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS,GS
Date,,,,,,
2000-01-03,61.6636848449707,88.3125,94.375,87.75,94.1875,1822600
2000-01-04,57.77971649169922,82.75,87.5,82.25,87.0,1647700
2000-01-05,55.07398223876953,78.875,81.875,78.375,80.875,1516600
2000-01-06,57.430564880371094,82.25,84.5,78.625,78.625,1845100
2000-01-07,57.64877700805664,82.5625,83.1875,79.875,83.0625,1127400
2000-01-10,58.91434097290039,84.375,84.875,81.75,81.75,803100
2000-01-11,59.21977615356445,84.8125,86.25,84.5625,85.0,808600
2000-01-12,58.91434097290039,84.375,86.0,83.375,84.125,916100
2000-01-13,59.00160217285156,84.5,85.125,82.875,85.125,711000
2000-01-14,59.78715133666992,85.625,86.9375,85.3125,85.5,607000
2000-01-18,60.659950256347656,86.875,89.125,84.75,85.0,1095700
2000-01-19,61.1400146484375,87.5625,89.375,86.75,86.875,636900
2000-01-20,60.08770751953125,85.9375,87.9375,84.875,87.0,621800
2000-01-21,59.91287612915039,85.6875,86.1875,84.5625,86.1875,542500
2000-01-24,57.1597900390625,81.75,87.5,81.5,87.5,712900
2000-01-25,58.64560317993164,83.875,84.1875,82.375,83.0,749300
2000-01-26,61.70456314086914,88.25,88.5,84.125,84.125,1086600
2000-01-27,62.228973388671875,89.0,89.9375,87.625,88.25,702000
2000-01-28,60.8305778503418,87.0,88.0,86.125,87.5,776800
2000-01-31,64.06439971923828,91.625,91.6875,86.5,87.0,801800
2000-02-01,63.80220031738281,91.25,93.0,90.5,92.875,813100
2000-02-02,63.714759826660156,91.125,91.625,88.625,90.75,964700
2000-02-03,59.69439697265625,85.375,91.125,84.8125,90.0,2213300
2000-02-04,59.213714599609375,84.6875,87.25,83.5625,87.25,1451700
2000-02-07,59.95657730102539,85.75,86.5,83.5,84.4375,929800
2000-02-08,62.534912109375,89.4375,89.625,85.75,85.75,1024800
2000-02-09,60.65578079223633,86.75,89.4375,86.5625,89.4375,397100
2000-02-10,60.568382263183594,86.625,87.3125,85.5,86.75,503200
2000-02-11,59.51960372924805,85.125,88.75,85.0,86.4375,856900
2000-02-14,60.480979919433594,86.5,86.875,84.625,85.125,627800
2000-02-15,60.480979919433594,86.5,86.625,85.125,86.25,542400
2000-02-16,57.990074157714844,82.9375,87.3125,82.875,86.75,720300
2000-02-17,57.42197036743164,82.125,84.75,81.125,84.75,895500
2000-02-18,56.504295349121094,80.8125,84.5,80.75,84.5,925500
2000-02-22,57.028663635253906,81.5625,82.375,80.6875,81.25,720100
2000-02-23,59.95657730102539,85.75,87.0,81.0625,81.3125,702900
2000-02-24,62.66598129272461,89.625,89.9375,85.5,85.8125,1199800
2000-02-25,62.40377426147461,89.25,94.0,88.25,89.4375,1333000
2000-02-28,61.529788970947266,88.0,89.25,87.0,89.25,518000
2000-02-29,64.67620849609375,92.5,92.5,88.0,88.75,1381200
2000-03-01,66.24942779541016,94.75,96.75,93.1875,93.25,1488900
2000-03-02,67.29824829101562,96.25,97.875,94.125,95.25,1819200
2000-03-03,71.66824340820312,102.5,102.5,96.75,97.0,2295900
2000-03-06,72.4985122680664,103.6875,105.25,102.375,102.75,1421000
2000-03-07,73.3288345336914,104.875,105.75,102.4375,103.9375,1041300
2000-03-08,71.14382934570312,101.75,105.375,99.6875,105.0,1041100
2000-03-09,74.94570922851562,107.1875,108.1875,101.25,101.75,535500
2000-03-10,78.48542785644531,112.25,119.0,108.5,109.75,2034400
2000-03-13,77.17447662353516,110.375,115.5,106.5,107.5,1454200
2000-03-14,73.24144744873047,104.75,112.875,103.5,111.5,653100
2000-03-15,72.4111099243164,103.5625,105.5,101.375,102.5,700300
2000-03-16,72.23632049560547,103.3125,105.0,99.25,103.875,2024800
2000-03-17,81.45703887939453,116.5,117.375,103.25,104.125,2099400
2000-03-20,79.31575012207031,113.4375,123.0,112.5625,117.625,2254000
2000-03-21,82.6806411743164,118.25,119.8125,106.5,111.0,2692800
2000-03-22,81.9158935546875,117.15625,117.9375,114.8125,114.875,1258900
2000-03-23,83.20506286621094,119.0,119.0,115.125,116.5,1656900
2000-03-24,84.8219223022461,121.3125,128.0,117.6875,119.0,1934400
2000-03-27,78.31063842773438,112.0,119.375,111.75,118.25,1315000
2000-03-28,79.18465423583984,113.25,115.5,108.5,109.5,1649400
2000-03-29,79.84015655517578,114.1875,116.125,110.75,114.0,754300
2000-03-30,74.72724914550781,106.875,115.0,105.125,112.625,1241200
2000-03-31,73.59101867675781,105.25,111.875,103.3125,108.0,1693300
2000-04-03,73.76581573486328,105.5,110.8125,105.5,108.75,1789500
2000-04-04,68.69664001464844,98.25,106.25,91.125,106.0,3739600
2000-04-05,68.12850189208984,97.4375,99.625,93.5,97.5,3238700
2000-04-06,74.11540222167969,106.0,106.0,100.0,101.0,1675700
2000-04-07,71.66824340820312,102.5,107.25,101.1875,106.25,1373500
2000-04-10,74.85831451416016,107.0625,109.125,103.5625,104.0,1749900
2000-04-11,73.28511047363281,104.8125,108.3125,104.3125,107.125,1147200
2000-04-12,67.51666259765625,96.5625,107.25,96.5,106.5,2598500
2000-04-13,66.5989761352539,95.25,98.125,92.3125,96.75,3377700
2000-04-14,57.859004974365234,82.75,92.75,79.4375,92.75,4855800
2000-04-17,61.180213928222656,87.5,87.75,81.0,81.75,3489600
2000-04-18,65.55017852783203,93.75,94.9375,86.875,87.5,2191500
2000-04-19,64.45283508300781,92.0625,93.5,89.625,93.4375,1390200
2000-04-20,62.1774787902832,88.8125,91.8125,88.0,91.8125,1061100
2000-04-24,60.8210334777832,86.875,91.5,84.625,88.8125,1764300
2000-04-25,67.95329284667969,97.0625,97.875,87.5,88.625,1341500
2000-04-26,66.15926361083984,94.5,99.125,94.0,97.5625,1626100
2000-04-27,66.64061737060547,95.1875,96.25,90.375,91.5,1772400
2000-04-28,65.2841567993164,93.25,97.5,90.875,96.25,1145600
2000-05-01,67.90950775146484,97.0,101.625,93.25,93.25,2319300
2000-05-02,65.109130859375,93.0,97.625,92.5,95.0,1666500
2000-05-03,63.796409606933594,91.125,95.75,89.6875,92.25,1931000
2000-05-04,63.14012145996094,90.1875,92.0,88.125,91.375,920700
2000-05-05,62.921356201171875,89.875,92.1875,87.4375,89.375,1378100
2000-05-08,61.12730026245117,87.3125,87.875,85.75,86.0,2817000
2000-05-09,59.94590759277344,85.625,87.0,84.75,86.0,1739100
